,,,,,,,,
Wednesday,F-205,Digital Logic Design (BCS-2A),Digital Logic Design (BCS-2B),Com. Org. & Assembly Lang. (BDS-4A),Com. Org. & Assembly Lang. (BDS-4B),,Fund. of Big Data Analytics (BDS-6A),
Wednesday,F-206,Digital Logic Design (BSE-2A), Data Structures (BDS-4A),Database Systems (BCS-4A),Compiler Construction (BCS-6D),Database Systems (BDS-4B),Applied Machine Learning (BCS-8B),
Wednesday,F-207,Islamic Studies/Ethics & Holy Quran (BSE-2B),,Professional Practices in IT (BCS-8A),Parallel & Distributed Comp (BCS-6K),Database Systems (BCS-4G),Civics and Community Eng (BDS-4B),
Wednesday,F-208,Professional Practices in IT (BCS-8B),Software Engineering (BCS-6D),Software Engineering (BCS-6E),Data Science (BCS-8B),Advanced Programming (BCS-8A),Advanced Programming (BCS-8B),
Wednesday,F-209,Parallel & Distributed Comp (BCS-6F),Parallel & Distributed Comp (BCS-6E),,Design & Analysis of Algo (BSE-6B),Software Engineering (BCS-6F),Professional Practices in IT (BSE-8A),
Wednesday,F-210,Object Oriented Programming (BCS-2C),Software Re-Engineering (BSE-8A),Software Re-Engineering (BSE-8B),Object Oriented Programming (BCS-2B),Compiler Construction (BCS-6K),,
Wednesday,F-301,,Operating Systems (BCS-4A),Advanced Statistics (BDS-4C),Operating Systems (BCS-4B),Natural Language Processing (BCS-8C),Programming Fundamentals (BDS-2A),
Wednesday,F-302,,Object Oriented Programming (BSE-2A),Object Oriented Programming (BSE-2B),Compiler Construction (BCS-6H),Compiler Construction (BCS-6G),Artificial Intelligence (BCS-6H),
Wednesday,F-303,,Object Oriented Programming (BCS-2A),Bioinformatics (BCS-8B),Parallel & Distributed Comp (BDS-6B),Parallel & Distributed Comp (BDS-6A),,
Wednesday,F-304,Intro to Cloud Computing (BDS-8A),Deep Learning (BCS-8B),Parallel & Distributed Comp (BCS-6H),Islamic Studies/Ethics & Holy Quran (BDS-2B),,,
Wednesday,F-305,Natural Language Processing (BCS-8A),Natural Language Processing (BCS-8B),Artificial Intelligence (BCS-6F),Artificial Intelligence (BCS-6G),Object Oriented Programming (BCS-2K),,
